是的1,是的2,不是1,不是2,是1,是2,否1,否2,对1,对2,错1,错2,同意1,同意2,反对1,反对2,正确1,正确2,错误1,错误2,
0.8980646282143068,0.8822133995741491,0.10193537178569317,0.11778660042585082,0.7094607204518049,0.7113502511968699,0.2905392795481952,0.28864974880313016,0.7043411108398865,0.7097350041979897,0.2956588891601135,0.2902649958020103,0.613030684896334,0.6765247586274765,0.38696931510366595,0.3234752413725235,0.8260890690938171,0.8260891226268033,0.17391093090618293,0.1739108773731966,
0.9019579807924268,0.9041223453868594,0.09804201920757319,0.09587765461314053,0.6842393964420763,0.6867981483956755,0.31576060355792357,0.3132018516043245,0.5732536189540819,0.5922472812474524,0.4267463810459181,0.40775271875254754,0.7547544819846543,0.8242105174177954,0.2452455180153457,0.17578948258220464,0.8242105193073846,0.862467533633677,0.1757894806926154,0.13753246636632302,
0.8799259759350245,0.8913396372491459,0.1200740240649755,0.10866036275085407,0.7109462759844148,0.7269530806247638,0.2890537240155851,0.2730469193752362,0.7255620505093172,0.7097350208884505,0.2744379494906828,0.2902649791115494,0.6212348698250462,0.6868838749342214,0.3787651301749539,0.3131161250657786,0.7876408527453783,0.794810051968887,0.2123591472546217,0.20518994803111307,
0.8642078128844812,0.8678769605471247,0.13579218711551877,0.13212303945287532,0.6884407278837946,0.7026566757685905,0.31155927211620543,0.2973433242314095,0.534666385574642,0.5817257129241954,0.46533361442535803,0.41827428707580466,0.6533236103093538,0.7341194947104727,0.3466763896906462,0.2658805052895273,0.7817752107924154,0.794809975633058,0.21822478920758456,0.20519002436694203,
0.8513218979628963,0.8646161802430054,0.14867810203710377,0.13538381975699462,0.6423769135029941,0.694542199704571,0.3576230864970059,0.30545780029542907,0.6952230773210603,0.6988891020043457,0.3047769226789398,0.3011108979956543,0.5604665409484749,0.6374321490093336,0.439533459051525,0.36256785099066635,0.8540210376995568,0.8609157196601692,0.14597896230044322,0.13908428033983075,
0.8762663757192846,0.870993191242075,0.12373362428071542,0.129006808757925,0.6755196195898481,0.6968742647038503,0.32448038041015187,0.30312573529614983,0.7220918537453924,0.718594391236727,0.27790814625460764,0.28140560876327303,0.5880482149830424,0.6334102662387305,0.4119517850169576,0.3665897337612695,0.763483779044954,0.7839884773474168,0.23651622095504596,0.21601152265258314,
0.8766390736110232,0.8746938349833292,0.12336092638897686,0.12530616501667075,0.6407839855732347,0.6599815855439458,0.3592160144267654,0.34001841445605413,0.815885495548566,0.8092759831407997,0.18411450445143396,0.19072401685920023,0.7332715216667693,0.7727594878552196,0.26672847833323066,0.2272405121447804,0.8346466393321279,0.8358412777978684,0.16535336066787215,0.16415872220213157,
0.8521627099523483,0.8582733201342316,0.14783729004765164,0.1417266798657684,0.644415766042044,0.6695907858165953,0.355584233957956,0.33040921418340474,0.5432942303655468,0.6293696120112552,0.45670576963445314,0.37063038798874487,0.5465230564142557,0.5368255009906973,0.4534769435857443,0.4631744990093028,0.7115199739876235,0.7408416072405928,0.2884800260123766,0.2591583927594073,
0.8627315062060209,0.8673408081190312,0.13726849379397912,0.13265919188096878,0.7284774281730191,0.7199640136975031,0.271522571826981,0.28003598630249693,0.4288710026367882,0.49348989751003275,0.5711289973632119,0.5065101024899673,0.5668712858519391,0.5636715478891139,0.43312871414806087,0.4363284521108861,0.7499020973899448,0.7626991305335913,0.2500979026100552,0.2373008694664087,
0.8882679195707922,0.8781088243811831,0.11173208042920785,0.1218911756188169,0.7803867100462194,0.75264806312186,0.2196132899537806,0.24735193687814006,0.7912481263227776,0.7787988749540271,0.2087518736772223,0.2212011250459729,0.8680334026381479,0.8963320396717053,0.13196659736185207,0.10366796032829471,0.8738859502600111,0.8771964973494929,0.12611404973998883,0.1228035026505071,
